gsl_complex_arccos,10,10,6,10,10,10,10,6,10
gsl_complex_arccosh,39,31,15,36,39,31,39,31,39
gsl_complex_arccosh_real,9,9,8,9,9,9,9,5,9
gsl_complex_arccos_real,9,9,4,9,9,9,9,4,9
gsl_complex_arccot,30,33,4,22,31,31,31,22,30
gsl_complex_arccoth,35,36,33,25,25,35,25,25,25
gsl_complex_arccsc,38,44,39,24,24,37,24,24,24
gsl_complex_arccsch,37,46,45,30,30,43,30,30,30
gsl_complex_arccsc_real,9,9,8,9,9,8,9,5,9
gsl_complex_arcsec,38,44,39,24,24,37,24,24,24
gsl_complex_arcsech,44,49,44,29,29,42,29,29,29
gsl_complex_arcsec_real,9,9,8,9,9,8,9,5,9
gsl_complex_arcsin,35,25,10,31,35,25,35,25,35
gsl_complex_arcsinh,44,40,16,37,40,40,40,31,44
gsl_complex_arcsin_real,9,9,4,9,9,9,9,4,9
gsl_complex_arctan,22,24,5,22,19,22,24,16,24
gsl_complex_arctanh,30,30,9,26,28,30,30,25,30
gsl_complex_arctanh_real,5,5,5,5,5,5,5,4,5
gsl_complex_cos,6,6,5,6,6,6,6,6,6
gsl_complex_cot,16,16,12,16,16,16,16,12,16
gsl_complex_coth,16,16,12,16,16,16,16,12,16
gsl_complex_csc,12,12,11,12,12,12,12,12,12
gsl_complex_log10,23,23,19,20,23,23,23,23,23
gsl_complex_logabs,10,10,8,8,10,10,10,10,10
gsl_complex_log_b,31,31,28,29,29,29,31,31,31
gsl_complex_log,19,19,17,17,19,19,19,19,19
gsl_complex_pow,37,37,8,29,37,37,31,30,37
gsl_complex_pow_real,26,26,6,24,26,26,26,25,26
gsl_complex_sec,12,12,11,12,12,12,12,12,12
gsl_complex_sin,6,6,5,6,6,6,6,6,6
gsl_complex_sqrt,19,19,4,17,19,19,19,17,19
gsl_complex_sqrt_real,5,5,4,5,5,5,5,4,5
gsl_complex_tan,10,10,6,10,10,10,10,6,10
gsl_complex_tanh,10,10,6,10,10,10,10,6,10
